Workflow,Concurrency,Throughput
1,100,31.78
1,200,49.15
1,300,61.33
1,400,75.79
1,500,87.08
1,700,96.13
1,1000,97.46
2,100,33.81
2,200,47.75
2,300,56.61
2,400,64.78
2,500,88.61
2,700,87.88
2,1000,86.79
3,100,35.67
3,200,48.22
3,300,60.11
3,400,69.45
3,500,70.23
3,700,71.76
3,1000,74.89
4,100,32.31
4,200,41.45
4,300,63.22
4,400,65.67
4,500,61.34
4,700,62.78
4,1000,65.61
5,100,38.78
5,200,54.12
5,300,73.45
5,400,76.89
5,500,84.34
5,700,85.67
5,1000,86.12
6,100,31.56
6,200,43.34
6,300,55.23
6,400,68.45
6,500,70.12
6,700,73.45
6,1000,71.67
7,100,34.23
7,200,46.11
7,300,58.34
7,400,59.23
7,500,61.56
7,700,60.78
7,1000,57.34
8,100,37.89
8,200,49.45
8,300,61.34
8,400,64.12
8,500,65.89
8,700,62.23
8,1000,64.56
9,100,32.34
9,200,44.67
9,300,56.89
9,400,69.45
9,500,68.12
9,700,69.34
9,1000,71.78
10,100,29.12
10,200,41.45
10,300,53.89
10,400,56.23
10,500,54.78
10,700,55.99
10,1000,58.56
11,100,25.67
11,200,40.34
11,300,52.89
11,400,66.45
11,500,72.34
11,700,73.56
11,1000,72.12
12,100,26.12
12,200,38.78
12,300,45.56
12,400,53.12
12,500,54.45
12,700,54.89
12,1000,52.34
